Date,City,Country,AQI,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (ppb),SO2 (ppb),CO (ppm),O3 (ppb),Temperature (°C),Humidity (%),Wind Speed (m/s)
2024-02-14,Paris,France,292,67.4,188.1,43.2,21.1,4.02,161.1,-8.8,83,14.9
2024-02-14,São Paulo,Brazil,140,198.7,271.3,60.3,16.8,0.64,187.0,17.8,20,9.5
2024-02-14,Cairo,Egypt,240,171.6,76.1,20.7,26.6,1.36,86.4,-6.1,40,6.9
2024-02-15,New York,USA,44,27.8,164.3,45.6,16.1,6.59,197.4,4.6,21,0.7
2024-02-15,Los Angeles,USA,279,204.5,222.5,18.5,27.9,2.32,103.1,30.8,62,5.1
2024-02-15,Delhi,India,218,174.3,283.5,18.0,28.9,9.3,85.3,33.4,17,6.0
2024-02-15,Paris,France,108,208.1,82.9,29.3,45.8,4.85,171.5,-3.9,49,1.6
2024-02-15,São Paulo,Brazil,134,195.1,297.4,70.8,38.1,1.54,48.9,23.2,19,3.7
2024-02-15,Cairo,Egypt,98,137.7,194.9,68.1,14.1,8.23,108.6,20.8,61,2.6
2024-02-16,New York,USA,36,75.8,223.2,95.6,13.6,6.08,63.4,27.6,73,14.4
2024-02-16,Los Angeles,USA,226,208.6,283.6,56.1,12.5,6.5,181.3,4.2,17,8.6
2024-02-16,Delhi,India,112,113.1,51.5,94.2,21.7,7.8,110.8,38.2,77,9.1
2024-02-16,Paris,France,104,180.5,149.5,56.8,30.7,0.15,61.3,-5.5,66,13.6
2024-02-16,São Paulo,Brazil,184,38.6,226.1,35.4,2.9,3.41,63.1,28.6,12,1.1
2024-02-16,Cairo,Egypt,151,109.6,245.5,55.4,33.2,2.8,35.1,11.0,26,2.0
2024-02-17,New York,USA,276,187.0,83.0,31.2,22.9,3.77,194.1,11.9,85,5.8
2024-02-17,Los Angeles,USA,259,186.4,75.0,16.6,23.0,7.71,30.5,-1.5,50,6.3
2024-02-17,Delhi,India,263,199.4,88.2,98.6,44.8,6.66,12.0,1.3,68,12.4
2024-02-17,Paris,France,54,168.9,254.7,52.5,49.4,3.8,95.1,31.3,15,5.9
2024-02-17,São Paulo,Brazil,217,88.0,29.3,87.2,16.5,3.03,35.5,11.5,41,1.7
2024-02-17,Cairo,Egypt,242,75.4,35.9,79.1,23.4,5.28,132.0,5.8,86,9.4
2024-02-18,New York,USA,37,106.0,70.3,99.0,35.9,6.07,88.9,12.6,44,6.6
2024-02-18,Los Angeles,USA,232,53.0,251.4,23.4,39.8,0.51,137.1,-0.7,77,2.3
2024-02-18,Delhi,India,233,170.6,253.2,79.8,23.0,4.33,17.4,21.6,27,8.2
2024-02-18,Paris,France,260,188.8,153.2,64.6,20.5,7.6,29.8,25.8,71,8.1
2024-02-18,São Paulo,Brazil,226,89.4,222.3,11.2,41.5,7.69,86.3,-9.9,90,4.6
2024-02-18,Cairo,Egypt,270,177.3,23.2,91.2,2.8,0.92,21.5,-4.2,45,5.5
2024-02-19,New York,USA,213,181.7,133.4,64.4,3.9,0.38,189.2,4.8,18,3.3
2024-02-19,Los Angeles,USA,51,67.8,225.6,6.8,30.2,6.52,40.9,12.7,68,1.6
2024-02-19,Delhi,India,253,114.1,118.6,23.5,7.8,5.26,123.2,-2.1,90,6.9
2024-02-19,Paris,France,262,104.1,17.8,11.5,20.2,3.61,198.2,25.1,79,10.7
2024-02-19,São Paulo,Brazil,195,25.5,23.7,70.0,37.5,1.45,41.8,4.5,85,3.9
2024-02-19,Cairo,Egypt,288,159.8,162.1,73.6,29.7,1.67,187.5,8.6,57,1.9
2024-02-20,New York,USA,140,209.2,275.0,15.0,15.8,8.56,177.8,39.5,88,9.6
2024-02-20,Los Angeles,USA,268,54.4,252.3,12.1,23.1,3.11,73.1,17.3,57,5.8
2024-02-20,Delhi,India,276,202.5,80.4,54.6,6.4,8.29,70.0,-2.3,12,11.0
2024-02-20,Paris,France,31,223.8,277.4,60.4,33.5,9.05,31.2,-3.0,17,13.4
2024-02-20,São Paulo,Brazil,191,172.1,191.4,38.3,20.6,4.79,141.8,24.5,17,2.5
2024-02-20,Cairo,Egypt,202,66.2,26.6,78.6,22.7,0.11,18.4,26.9,49,6.9
2024-02-21,New York,USA,224,130.3,193.8,40.2,5.0,4.58,21.0,-9.1,63,12.8
2024-02-21,Los Angeles,USA,125,118.7,119.1,91.0,21.8,0.63,194.9,-5.8,61,12.7
2024-02-21,Delhi,India,188,110.1,166.2,36.5,4.2,9.33,109.5,19.8,82,11.1
2024-02-21,Paris,France,245,174.1,235.9,34.7,14.2,1.22,113.0,18.5,14,2.5
2024-02-21,São Paulo,Brazil,126,225.0,144.0,13.9,42.1,6.57,136.1,-4.0,28,14.6
2024-02-21,Cairo,Egypt,278,16.9,234.7,94.9,46.1,1.28,140.3,7.1,76,6.8
2024-02-22,New York,USA,187,47.7,159.0,13.1,28.9,5.37,135.2,-9.5,76,6.7
2024-02-22,Los Angeles,USA,108,233.0,88.0,95.8,15.6,1.03,24.1,40.0,31,5.8
2024-02-22,Delhi,India,248,90.8,123.5,98.0,7.5,7.16,88.6,28.0,55,11.2
2024-02-22,Paris,France,235,216.8,251.5,38.3,18.7,0.36,156.2,28.5,63,0.9
2024-02-22,São Paulo,Brazil,141,24.0,121.8,60.8,28.6,6.2,199.8,30.3,14,13.0
2024-02-22,Cairo,Egypt,284,197.1,190.2,96.9,31.5,7.25,170.5,15.7,70,10.8
2024-02-23,New York,USA,115,207.7,90.2,83.4,26.7,3.34,111.7,15.9,43,12.2
2024-02-23,Los Angeles,USA,107,6.3,208.0,62.8,3.7,3.55,66.7,24.0,41,6.2
2024-02-23,Delhi,India,252,74.6,54.7,85.7,40.1,1.53,193.1,27.5,42,8.0
2024-02-23,Paris,France,203,180.6,117.9,89.3,9.0,4.63,63.2,12.4,83,4.7
2024-02-23,São Paulo,Brazil,199,19.8,49.0,79.0,25.5,3.61,175.0,17.0,51,5.0
2024-02-23,Cairo,Egypt,269,134.2,279.8,41.8,38.1,8.1,173.2,-2.7,22,1.3
2024-02-24,New York,USA,299,190.6,198.8,84.7,20.1,0.13,66.2,18.0,20,6.0
2024-02-24,Los Angeles,USA,238,200.3,269.7,18.5,13.8,2.19,73.5,29.9,82,1.4
2024-02-24,Delhi,India,281,136.3,201.1,21.7,39.9,3.49,56.7,3.3,37,10.4
2024-02-24,Paris,France,72,190.6,95.3,90.9,43.9,7.81,186.2,32.7,63,6.6
2024-02-24,São Paulo,Brazil,206,67.0,252.3,31.2,41.0,9.95,153.5,23.4,32,14.4
2024-02-24,Cairo,Egypt,30,66.1,265.6,80.0,30.2,2.59,46.6,21.4,57,4.2
2024-02-25,New York,USA,33,169.8,273.4,21.7,23.7,4.29,178.6,28.7,76,4.5
2024-02-25,Los Angeles,USA,254,176.5,12.4,30.3,14.1,0.2,186.2,32.3,26,3.3
2024-02-25,Delhi,India,292,30.8,285.2,89.8,17.1,7.31,189.9,-6.8,74,6.5
2024-02-25,Paris,France,40,152.0,93.1,35.4,17.6,1.92,196.0,33.3,13,1.7
2024-02-25,São Paulo,Brazil,179,198.8,200.7,15.1,37.6,2.36,162.5,18.8,83,11.5
2024-02-25,Cairo,Egypt,236,156.3,185.6,17.4,39.0,2.24,175.8,39.5,55,6.9
2024-02-26,New York,USA,250,243.0,170.2,22.2,29.4,7.88,54.5,-7.9,43,4.8
2024-02-26,Los Angeles,USA,171,14.3,127.6,51.1,26.4,1.94,66.9,33.2,14,13.0
2024-02-26,Delhi,India,211,104.0,25.1,89.9,9.5,5.98,126.1,-3.6,50,11.4
2024-02-26,Paris,France,41,122.8,113.0,58.8,3.1,8.63,37.3,32.4,14,9.9
2024-02-26,São Paulo,Brazil,162,10.2,282.8,30.7,36.2,3.58,189.4,1.1,33,5.8
2024-02-26,Cairo,Egypt,218,40.1,171.7,14.7,49.7,3.61,123.4,14.5,77,14.7
2024-02-27,New York,USA,173,109.5,263.8,71.2,40.1,6.52,90.5,22.6,78,11.7
2024-02-27,Los Angeles,USA,171,99.8,80.6,79.4,21.2,4.25,23.7,-5.1,75,8.8
2024-02-27,Delhi,India,208,185.6,164.3,70.3,4.3,9.05,147.7,19.8,85,6.3
2024-02-27,Paris,France,269,8.2,43.9,67.3,28.2,8.14,90.6,38.7,12,10.8
2024-02-27,São Paulo,Brazil,71,56.6,213.9,61.9,8.6,4.68,11.8,14.0,67,7.2
2024-02-27,Cairo,Egypt,92,239.2,20.8,66.5,31.9,8.6,31.4,11.7,31,6.2
2024-02-28,New York,USA,218,77.9,217.6,23.8,26.2,4.09,124.4,36.4,57,3.6
2024-02-28,Los Angeles,USA,116,100.4,275.1,6.6,22.6,4.41,10.2,9.2,33,1.9
2024-02-28,Delhi,India,172,68.2,76.2,68.4,38.4,1.41,128.5,5.6,17,6.1
2024-02-28,Paris,France,35,155.4,260.0,77.5,9.9,6.27,47.4,1.0,71,7.6
2024-02-28,São Paulo,Brazil,183,41.3,234.5,82.3,49.9,2.47,113.2,36.0,66,0.9
2024-02-28,Cairo,Egypt,85,100.5,141.3,5.1,16.0,1.72,13.2,-6.7,88,14.0
2024-02-29,New York,USA,130,207.4,204.4,8.3,35.8,3.24,177.7,6.0,85,4.5
2024-02-29,Los Angeles,USA,278,242.4,29.5,90.8,28.7,7.13,112.3,7.6,30,10.1
2024-02-29,Delhi,India,257,97.1,198.1,84.2,2.1,7.65,168.8,32.2,23,0.6
2024-02-29,Paris,France,196,33.8,69.4,90.3,17.9,4.74,128.6,13.6,37,3.5
2024-02-29,São Paulo,Brazil,163,39.1,200.7,54.4,44.9,3.3,190.8,9.6,87,7.4
2024-02-29,Cairo,Egypt,263,116.1,65.1,38.7,24.0,4.88,91.7,20.0,19,4.1
2024-03-01,New York,USA,182,21.6,199.4,80.9,45.7,8.71,32.7,0.3,57,8.5
2024-03-01,Los Angeles,USA,32,129.7,157.9,82.2,48.6,6.14,68.9,12.3,42,11.0
2024-03-01,Delhi,India,30,105.1,280.4,14.1,44.6,5.69,113.8,28.9,48,10.3
2024-03-01,Paris,France,252,120.1,71.3,36.7,39.7,0.41,11.0,-4.2,31,5.8
2024-03-01,São Paulo,Brazil,280,108.0,87.3,86.6,44.1,8.0,93.4,-6.0,84,11.2
2024-03-01,Cairo,Egypt,250,76.6,150.4,23.0,36.2,3.67,18.1,25.7,19,5.7
2024-03-02,New York,USA,160,24.0,286.5,10.2,44.9,1.86,75.3,-4.3,78,5.6
2024-03-02,Los Angeles,USA,160,248.4,38.2,28.2,32.1,8.35,124.9,33.3,78,14.5
2024-03-02,Delhi,India,222,105.7,240.3,66.4,27.1,9.49,150.3,-4.1,90,14.3
2024-03-02,Paris,France,298,92.4,240.2,76.5,31.3,0.92,100.7,22.3,86,5.4
2024-03-02,São Paulo,Brazil,139,37.0,93.7,62.0,5.6,4.1,80.6,23.4,28,3.1
2024-03-02,Cairo,Egypt,102,71.5,119.5,77.2,44.9,0.28,177.5,14.5,85,11.8
2024-03-03,New York,USA,257,196.0,110.5,92.0,20.7,1.02,167.9,-5.0,24,2.5
2024-03-03,Los Angeles,USA,81,126.1,176.0,72.0,12.0,1.37,69.0,-0.7,34,7.7
2024-03-03,Delhi,India,283,65.6,271.5,19.7,50.0,8.68,186.0,16.4,21,2.5
2024-03-03,Paris,France,118,148.8,254.4,35.5,6.8,1.78,139.6,3.7,47,2.9
2024-03-03,São Paulo,Brazil,126,133.4,176.8,75.9,22.3,3.64,21.3,24.2,37,12.8
2024-03-03,Cairo,Egypt,136,12.0,23.6,60.7,27.6,4.5,112.7,8.0,29,12.1
2024-03-04,New York,USA,231,243.2,107.1,30.1,25.1,5.89,78.1,-0.9,75,2.2
2024-03-04,Los Angeles,USA,118,159.3,247.2,96.4,16.5,6.73,128.7,0.6,12,13.7
2024-03-04,Delhi,India,283,158.3,207.2,51.6,5.9,9.79,54.5,39.4,89,6.7
2024-03-04,Paris,France,89,49.3,191.7,74.6,30.9,1.51,173.5,-4.9,78,1.1
2024-03-04,São Paulo,Brazil,62,205.5,193.5,85.6,8.3,9.59,138.5,31.1,51,13.4
2024-03-04,Cairo,Egypt,73,208.9,208.3,13.3,32.0,1.31,87.6,18.8,82,13.2
2024-03-05,New York,USA,245,9.3,46.8,71.3,36.9,1.44,60.3,-6.4,67,7.6
2024-03-05,Los Angeles,USA,269,147.4,161.1,96.3,44.7,0.24,76.6,3.3,15,4.5
2024-03-05,Delhi,India,133,232.0,226.8,30.5,23.7,6.44,130.0,7.4,17,13.8
2024-03-05,Paris,France,252,24.3,128.4,75.5,40.2,7.44,132.5,12.7,28,11.2
2024-03-05,São Paulo,Brazil,42,163.7,290.2,54.8,7.2,2.1,165.3,1.2,23,2.2
2024-03-05,Cairo,Egypt,225,135.5,206.4,78.0,9.1,5.52,74.9,23.8,21,12.2
2024-03-06,New York,USA,228,101.9,252.5,10.6,37.9,3.21,30.7,8.7,80,1.1
2024-03-06,Los Angeles,USA,117,40.7,297.1,72.8,43.6,6.94,60.7,18.5,57,2.2
2024-03-06,Delhi,India,184,35.6,279.1,67.5,20.5,0.95,123.2,6.6,50,13.3
2024-03-06,Paris,France,219,80.9,134.3,54.5,33.9,3.53,51.9,18.2,63,9.1
2024-03-06,São Paulo,Brazil,293,25.6,222.8,88.7,16.8,4.51,19.1,9.6,56,8.6
2024-03-06,Cairo,Egypt,254,28.6,248.5,65.7,19.2,3.05,127.1,39.3,39,10.3
2024-03-07,New York,USA,233,46.4,202.5,54.5,17.5,3.21,198.2,21.7,13,10.0
2024-03-07,Los Angeles,USA,196,19.9,191.8,38.3,36.1,7.38,152.1,33.9,82,12.1
2024-03-07,Delhi,India,127,29.5,250.5,79.6,2.1,8.7,41.2,10.8,16,13.9
2024-03-07,Paris,France,281,250.0,200.2,26.6,19.9,2.18,121.5,-2.9,43,5.4
2024-03-07,São Paulo,Brazil,298,249.3,297.2,57.6,13.9,6.16,72.8,19.1,51,2.9
2024-03-07,Cairo,Egypt,47,132.6,145.1,56.9,46.4,9.47,75.7,29.6,11,9.7
2024-03-08,New York,USA,292,133.9,206.0,39.7,17.7,4.72,166.3,5.3,14,13.7
2024-03-08,Los Angeles,USA,42,10.4,111.1,90.4,4.0,2.67,62.4,2.3,59,7.1
2024-03-08,Delhi,India,128,160.7,295.3,33.9,22.4,1.7,150.3,28.1,34,2.2
2024-03-08,Paris,France,271,146.0,27.7,6.9,5.0,6.62,115.7,-4.4,77,6.4
2024-03-08,São Paulo,Brazil,73,101.2,185.1,25.1,4.1,3.45,96.9,25.6,75,7.3
2024-03-08,Cairo,Egypt,118,12.5,49.9,70.7,29.2,8.06,108.3,17.8,19,6.2
2024-03-09,New York,USA,43,216.4,151.5,92.5,19.1,7.73,50.1,20.1,82,12.4
2024-03-09,Los Angeles,USA,282,76.7,84.2,57.3,10.0,0.95,103.4,15.5,55,8.4
2024-03-09,Delhi,India,130,214.4,37.7,76.8,9.8,8.93,178.7,2.6,40,10.2
2024-03-09,Paris,France,152,45.8,251.7,24.0,40.9,2.57,44.9,0.4,54,9.8
2024-03-09,São Paulo,Brazil,120,140.2,98.3,23.9,5.5,0.41,90.3,-9.6,53,6.7
2024-03-09,Cairo,Egypt,49,208.2,65.2,53.2,4.2,2.27,16.2,37.0,34,7.4
2024-03-10,New York,USA,161,170.3,69.7,60.2,19.0,4.32,97.5,23.9,34,0.6
2024-03-10,Los Angeles,USA,156,27.0,271.0,46.9,42.4,9.25,34.7,20.2,16,4.2
2024-03-10,Delhi,India,77,136.0,252.3,28.1,3.9,8.3,113.9,26.0,79,13.7
2024-03-10,Paris,France,113,174.8,69.7,93.8,11.4,9.22,74.8,33.0,49,3.0
2024-03-10,São Paulo,Brazil,174,248.9,189.7,12.8,30.1,8.15,125.1,34.2,39,9.2
2024-03-10,Cairo,Egypt,160,232.3,261.5,78.6,24.4,6.71,90.3,-10.0,75,13.6
2024-03-11,New York,USA,34,229.7,123.4,93.9,14.7,4.42,77.7,-5.2,33,8.4
2024-03-11,Los Angeles,USA,82,100.3,172.4,58.2,6.9,2.64,133.3,36.2,22,2.4
2024-03-11,Delhi,India,105,242.9,88.3,45.7,47.7,6.76,71.7,32.0,74,7.3
2024-03-11,Paris,France,235,42.8,221.0,68.3,10.0,6.52,71.4,-1.4,80,2.8
2024-03-11,São Paulo,Brazil,202,181.1,245.1,57.6,2.9,6.71,98.1,19.8,62,10.4
2024-03-11,Cairo,Egypt,266,6.2,121.9,70.9,33.3,9.63,62.4,28.7,35,6.9
2024-03-12,New York,USA,122,69.1,187.9,50.3,5.0,0.75,13.6,32.6,48,3.4
2024-03-12,Los Angeles,USA,241,146.0,14.8,7.2,3.8,0.28,127.8,34.8,64,11.7
2024-03-12,Delhi,India,40,170.5,14.7,52.3,18.3,1.0,166.0,0.7,25,6.0
2024-03-12,Paris,France,251,73.4,190.5,46.2,14.6,7.73,45.4,18.3,58,10.1
2024-03-12,São Paulo,Brazil,264,91.1,212.8,49.4,12.6,4.4,198.0,-4.0,51,11.8
2024-03-12,Cairo,Egypt,117,182.3,203.9,99.8,4.6,7.19,164.9,1.1,79,7.4
2024-03-13,New York,USA,53,218.0,166.9,76.0,38.5,6.55,61.4,34.6,14,4.1
2024-03-13,Los Angeles,USA,105,174.3,78.6,49.4,12.1,6.5,164.3,4.8,85,3.7
2024-03-13,Delhi,India,53,51.7,105.3,56.1,11.7,8.66,15.8,-4.8,71,2.3
2024-03-13,Paris,France,185,46.3,60.5,63.8,38.2,2.38,154.6,2.0,37,7.0
2024-03-13,São Paulo,Brazil,215,168.6,228.4,49.9,20.9,3.06,107.0,14.3,55,8.3
2024-03-13,Cairo,Egypt,208,187.8,48.4,59.2,46.8,0.75,193.4,-4.4,45,7.3
2024-03-14,New York,USA,195,54.2,286.9,97.7,33.3,8.31,195.9,28.2,88,6.5
2024-03-14,Los Angeles,USA,76,142.7,12.4,88.3,27.1,7.73,139.8,38.3,58,11.1
2024-03-14,Delhi,India,66,63.1,105.3,87.1,23.3,7.34,188.6,-7.5,72,10.3
2024-03-14,Paris,France,134,177.4,218.9,94.5,10.3,9.41,17.8,3.9,51,13.4
2024-03-14,São Paulo,Brazil,237,249.7,238.7,59.2,5.9,9.42,93.7,23.5,71,2.7
2024-03-14,Cairo,Egypt,64,180.9,254.9,49.8,33.2,9.01,126.9,19.9,86,6.2
2024-03-15,New York,USA,58,146.4,238.1,55.8,39.0,5.22,95.7,13.8,17,11.9
2024-03-15,Los Angeles,USA,177,186.1,239.8,57.3,43.4,6.1,24.6,17.5,49,7.5
2024-03-15,Delhi,India,101,13.5,72.9,42.5,21.3,5.77,34.9,6.9,44,2.2
2024-03-15,Paris,France,167,95.9,149.0,36.8,41.4,1.25,50.4,22.1,61,12.1
2024-03-15,São Paulo,Brazil,114,46.4,241.0,60.6,45.8,8.54,18.5,0.2,61,2.9
2024-03-15,Cairo,Egypt,162,37.4,271.1,31.6,19.7,3.99,93.9,20.3,33,10.4
2024-03-16,New York,USA,166,10.7,121.2,86.6,41.8,0.26,177.2,31.0,89,10.4
2024-03-16,Los Angeles,USA,113,170.2,288.9,67.6,49.9,7.85,47.4,13.5,35,2.4
2024-03-16,Delhi,India,230,54.5,105.9,41.8,15.0,2.71,176.2,16.1,80,11.7
2024-03-16,Paris,France,108,203.1,42.3,74.3,43.9,7.75,126.0,10.5,75,13.1
2024-03-16,São Paulo,Brazil,226,241.5,39.6,59.6,24.5,4.22,118.5,-5.1,48,5.8
2024-03-16,Cairo,Egypt,282,58.3,287.2,52.7,3.8,9.98,64.7,1.9,80,2.4
2024-03-17,New York,USA,172,102.9,180.7,36.5,39.1,8.09,154.1,0.9,16,2.9
2024-03-17,Los Angeles,USA,31,34.7,204.4,94.4,4.0,8.72,150.0,-9.5,14,10.7
2024-03-17,Delhi,India,292,145.7,270.4,72.5,39.2,9.52,34.2,16.6,62,9.1
2024-03-17,Paris,France,57,148.4,35.0,16.7,42.5,3.17,90.2,37.6,85,1.2
2024-03-17,São Paulo,Brazil,148,191.0,282.7,81.3,16.9,1.92,48.2,36.2,42,13.0
2024-03-17,Cairo,Egypt,103,31.2,183.7,8.7,6.9,8.55,95.5,30.7,65,9.7
2024-03-18,New York,USA,249,63.7,147.8,68.2,44.5,4.07,84.6,13.2,23,1.7
2024-03-18,Los Angeles,USA,242,36.2,62.8,54.3,8.6,8.83,116.5,1.0,26,7.8
2024-03-18,Delhi,India,156,6.4,255.8,39.6,46.0,7.27,84.2,9.3,41,2.8
2024-03-18,Paris,France,99,155.3,244.6,71.3,13.7,5.77,78.0,10.6,32,12.2
2024-03-18,São Paulo,Brazil,112,246.5,67.2,89.5,41.0,6.84,56.4,-5.3,90,2.9
2024-03-18,Cairo,Egypt,123,230.1,52.4,61.0,42.9,6.53,199.9,32.8,32,7.5
2024-03-19,New York,USA,152,54.8,210.3,65.9,45.3,1.78,83.2,-5.4,51,3.6
2024-03-19,Los Angeles,USA,44,117.5,279.8,95.7,12.3,0.84,155.2,-3.1,82,1.2
2024-03-19,Delhi,India,131,237.9,232.1,11.3,7.3,0.75,57.0,29.3,40,2.9
2024-03-19,Paris,France,144,59.6,228.7,65.1,13.7,0.45,175.2,24.6,45,1.1
2024-03-19,São Paulo,Brazil,263,47.0,232.4,62.1,24.3,6.25,171.7,-7.8,17,11.8
2024-03-19,Cairo,Egypt,203,229.2,186.0,21.3,8.5,1.25,115.1,13.9,44,8.0
2024-03-20,New York,USA,90,68.8,279.1,19.2,4.8,5.45,66.6,26.8,17,3.9
2024-03-20,Los Angeles,USA,161,57.8,211.7,50.0,23.7,0.25,22.1,-7.5,53,13.7
2024-03-20,Delhi,India,275,40.3,63.8,94.0,19.4,9.67,151.9,15.4,78,14.0
2024-03-20,Paris,France,95,208.9,47.1,73.2,36.7,1.17,132.2,20.4,32,13.9
2024-03-20,São Paulo,Brazil,196,123.7,197.1,23.0,19.3,1.27,51.0,28.5,57,11.6
2024-03-20,Cairo,Egypt,53,95.7,247.7,90.2,38.7,1.28,99.0,33.6,85,10.4
2024-03-21,New York,USA,67,25.5,260.5,12.1,4.6,8.52,150.7,28.3,25,8.0
2024-03-21,Los Angeles,USA,267,187.1,55.7,29.3,21.0,5.79,89.0,-7.6,64,3.3
2024-03-21,Delhi,India,166,147.9,153.8,80.8,28.6,1.37,180.8,24.7,40,5.7
2024-03-21,Paris,France,176,27.1,145.4,47.9,21.2,7.77,94.8,22.8,26,13.1
2024-03-21,São Paulo,Brazil,261,205.8,294.7,9.3,15.0,6.45,141.2,28.0,45,13.5
2024-03-21,Cairo,Egypt,177,127.7,208.3,47.3,16.3,1.57,141.2,23.0,64,5.0
2024-03-22,New York,USA,224,146.6,112.2,30.7,11.8,7.28,55.7,0.8,15,9.3
2024-03-22,Los Angeles,USA,32,36.7,253.0,89.0,5.8,6.59,90.6,18.8,63,10.3
2024-03-22,Delhi,India,143,10.6,180.6,57.6,28.6,6.19,31.0,21.0,56,7.6
2024-03-22,Paris,France,210,177.5,139.3,92.4,47.8,2.59,182.1,8.4,67,9.7
2024-03-22,São Paulo,Brazil,285,227.3,236.9,59.9,12.1,1.5,68.5,8.4,29,8.8
2024-03-22,Cairo,Egypt,195,42.1,51.5,24.4,5.7,2.99,175.9,-7.5,18,13.0
2024-03-23,New York,USA,220,45.9,49.0,95.8,6.1,7.35,128.6,23.5,58,6.6
2024-03-23,Los Angeles,USA,229,67.6,60.7,15.4,37.1,6.99,160.8,3.9,77,6.8
2024-03-23,Delhi,India,176,7.0,268.1,51.0,13.8,2.78,98.5,31.4,19,4.2
2024-03-23,Paris,France,298,109.7,63.4,50.9,9.8,5.11,47.0,22.7,42,1.6
2024-03-23,São Paulo,Brazil,202,162.5,192.8,22.7,39.1,4.26,184.6,34.9,81,10.0
2024-03-23,Cairo,Egypt,275,56.1,37.5,11.1,21.1,2.03,16.9,1.4,27,4.6
2024-03-24,New York,USA,43,135.7,108.7,51.1,28.5,0.95,180.0,-5.2,23,11.9
2024-03-24,Los Angeles,USA,115,177.0,167.8,61.0,18.9,8.18,78.6,6.5,70,4.3
2024-03-24,Delhi,India,202,91.1,145.0,44.5,47.8,4.65,107.2,15.4,30,8.2
2024-03-24,Paris,France,211,53.4,98.7,96.6,46.6,4.25,27.7,26.3,35,13.4
2024-03-24,São Paulo,Brazil,211,57.7,57.0,5.5,38.8,6.26,88.4,26.0,73,6.0
2024-03-24,Cairo,Egypt,146,164.9,173.1,40.4,33.4,8.35,24.3,-6.4,52,15.0
2024-03-25,New York,USA,85,152.3,281.3,36.2,7.4,3.67,168.0,17.6,39,8.6
2024-03-25,Los Angeles,USA,268,143.4,121.0,89.6,7.7,4.49,140.2,27.9,77,4.4
2024-03-25,Delhi,India,114,168.2,99.5,30.4,25.1,7.16,138.8,30.6,18,5.3
2024-03-25,Paris,France,36,46.5,235.3,48.1,31.7,2.74,94.2,7.7,84,8.3
2024-03-25,São Paulo,Brazil,227,132.3,200.5,99.7,17.3,9.07,58.2,38.0,58,5.9
2024-03-25,Cairo,Egypt,45,23.1,75.2,38.1,29.0,3.58,129.7,13.1,84,10.2
2024-03-26,New York,USA,52,65.2,200.9,47.1,20.3,1.39,91.2,-0.5,54,10.3
2024-03-26,Los Angeles,USA,204,65.5,134.7,5.4,24.4,5.9,128.7,23.3,37,6.1
2024-03-26,Delhi,India,133,101.6,220.5,51.6,17.8,5.52,137.2,17.7,14,14.6
2024-03-26,Paris,France,85,238.4,167.5,44.5,2.1,3.55,162.3,26.6,45,9.5
2024-03-26,São Paulo,Brazil,71,218.1,220.3,55.5,29.0,8.79,33.5,22.7,17,14.2
2024-03-26,Cairo,Egypt,55,14.3,25.5,33.0,49.9,0.45,49.2,11.6,41,14.1
2024-03-27,New York,USA,162,80.0,250.5,88.9,14.9,4.01,169.5,22.0,17,6.6
2024-03-27,Los Angeles,USA,150,214.9,271.1,47.7,22.5,8.93,11.3,16.0,24,3.2
2024-03-27,Delhi,India,99,67.7,211.2,21.1,46.3,9.63,38.5,27.2,27,5.8
2024-03-27,Paris,France,280,210.9,222.1,16.5,5.2,5.59,16.2,37.7,69,8.2
2024-03-27,São Paulo,Brazil,57,192.5,203.0,49.2,32.8,8.04,106.5,32.2,34,12.5
2024-03-27,Cairo,Egypt,272,86.3,210.4,25.4,43.3,7.81,121.5,2.0,87,10.9
2024-03-28,New York,USA,143,244.8,213.9,93.8,9.8,2.35,108.9,36.5,42,10.0
2024-03-28,Los Angeles,USA,75,11.7,215.3,37.0,44.7,0.68,136.4,0.3,19,14.4
2024-03-28,Delhi,India,156,143.9,123.2,20.7,44.9,2.67,155.6,35.2,11,10.6
2024-03-28,Paris,France,181,108.7,132.7,11.0,48.2,7.86,71.4,-3.8,44,5.4
2024-03-28,São Paulo,Brazil,277,175.9,27.7,32.5,4.3,4.77,86.7,9.6,18,9.0
2024-03-28,Cairo,Egypt,255,56.8,176.0,29.4,38.9,3.31,127.8,-9.2,80,2.1
2024-03-29,New York,USA,176,203.6,254.1,51.1,26.9,2.57,66.4,17.8,29,5.8
2024-03-29,Los Angeles,USA,270,216.5,281.0,19.8,48.2,4.9,69.0,11.1,66,3.1
2024-03-29,Delhi,India,174,57.0,117.1,70.4,29.9,8.65,70.8,38.6,22,8.2
2024-03-29,Paris,France,108,81.4,133.9,94.2,33.7,5.59,22.5,4.9,85,10.6
2024-03-29,São Paulo,Brazil,172,100.3,88.8,63.7,4.6,7.23,179.4,13.3,38,8.2
2024-03-29,Cairo,Egypt,203,15.3,201.1,62.4,15.4,6.76,105.8,12.0,44,7.8
2024-03-30,New York,USA,180,180.9,217.3,60.5,35.4,9.04,131.2,30.5,18,13.8
2024-03-30,Los Angeles,USA,83,188.7,169.5,23.5,33.2,2.56,97.6,20.8,17,0.9
